AFC Bournemouth,BOU,https://cdn.sportmonks.com/images/soccer/teams/20/52.png
Arsenal,ARS,https://cdn.sportmonks.com/images/soccer/teams/19/19.png
Aston Villa,AVL,https://cdn.sportmonks.com/images/soccer/teams/15/15.png
Brentford,BRE,https://cdn.sportmonks.com/images/soccer/teams/12/236.png
Brighton & Hove Albion,BHA,https://cdn.sportmonks.com/images/soccer/teams/14/78.png
Chelsea,CHE,https://cdn.sportmonks.com/images/soccer/teams/18/18.png
Crystal Palace,CRY,https://cdn.sportmonks.com/images/soccer/teams/19/51.png
Everton,EVE,https://cdn.sportmonks.com/images/soccer/teams/13/13.png
Fulham,FUL,https://cdn.sportmonks.com/images/soccer/teams/11/11.png
Ipswich Town,IPS,https://cdn.sportmonks.com/images/soccer/teams/20/116.png
Leicester City,LEI,https://cdn.sportmonks.com/images/soccer/teams/10/42.png
Liverpool,LIV,https://cdn.sportmonks.com/images/soccer/teams/8/8.png
Manchester City,MCI,https://cdn.sportmonks.com/images/soccer/teams/9/9.png
Manchester United,MUN,https://cdn.sportmonks.com/images/soccer/teams/14/14.png
name,short_code,image_path
Newcastle United,NEW,https://cdn.sportmonks.com/images/soccer/teams/20/20.png
Nottingham Forest,NFO,https://cdn.sportmonks.com/images/soccer/teams/31/63.png
Southampton,SOU,https://cdn.sportmonks.com/images/soccer/teams/1/65.png
Tottenham Hotspur,TOT,https://cdn.sportmonks.com/images/soccer/teams/6/6.png
West Ham United,WHU,https://cdn.sportmonks.com/images/soccer/teams/1/1.png
Wolverhampton Wanderers,WOL,https://cdn.sportmonks.com/images/soccer/teams/29/29.png
